Contig	T0-R-Dry-soil-A Mean	T0-R-Dry-soil-B Mean	T0-R-Dry-soil-C Mean	T1-R-H218O-A Mean	T1-R-H218O-B Mean	T1-R-H218O-C Mean	T1-R-H218O-P-A Mean	T1-R-H218O-P-B Mean	T1-R-H218O-P-C Mean	T1-R-H2O-A Mean	T1-R-H2O-B Mean	T1-R-H2O-C Mean	T1-R-H2O-P-A Mean	T1-R-H2O-P-B Mean	T1-R-H2O-P-C Mean	T2-R-H218O-A Mean	T2-R-H218O-B Mean	T2-R-H218O-C Mean	T2-R-H218O-P-A Mean	T2-R-H218O-P-B Mean	T2-R-H218O-P-C Mean	T2-R-H2O-A Mean	T2-R-H2O-B Mean	T2-R-H2O-C Mean	T2-R-H2O-P-A Mean	T2-R-H2O-P-B Mean	T2-R-H2O-P-C Mean	T3-R-H218O-A Mean	T3-R-H218O-B Mean	T3-R-H218O-C Mean	T3-R-H218O-P-A Mean	T3-R-H218O-P-B Mean	T3-R-H218O-P-C Mean	T3-R-H2O-A Mean	T3-R-H2O-B Mean	T3-R-H2O-C Mean	T3-R-H2O-P-A Mean	T3-R-H2O-P-B Mean	T3-R-H2O-P-C Mean
NODE_1131_length_24395_cov_7.372736__full	0	0	0	0	0	0	0	0	0	0	0.010806352	0	0	0	0.005279439	0	0	0	0	0.011961229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029696845
NODE_1135_length_24338_cov_18.484673__full	0	0	0	0	0	0.010749131	0	0	0	0.023317348	0	0.00851662	0.009508847	0	0	0.02997354	0	0	0	0	0	0.03274351	0.011989417	0	0.011989417	0	0	0.023978833	0	0	0	0.011989417	0	0.045146354	0.00587068	0	0	0	0
NODE_1136_length_24338_cov_16.366145__full	0	0	0	0.044154126	0	0	0	0.011989417	0	0	0	0	0	0	0	0	0	0	0	0	0.011989417	0.011989417	0	0	0	0	0.011989417	0	0.009426162	0	0.0085993055	0	0.011989417	0	0	0.01794278	0	0	0
NODE_1137_length_24332_cov_10.460364__full	0	0	0	0	0	0	0	0	0	0	0	0	0.011992391	0	0	0	0	0	0	0	0	0	0	0	0	0.011992391	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1141_length_24240_cov_27.443809__full	0	0.006019095	0	0.01203819	0.03607306	0.01203819	0.045828145	0	0	0.02407638	0	0.01203819	0	0.01203819	0	0.022498962	0	0.01203819	0	0	0	0.02283105	0.03611457	0.013947696	0.01203819	0.01203819	0.02407638	0.01203819	0	0.01203819	0.01203819	0	0.006019095	0.04811125	0.06019095	0.06019095	0.007721046	0.01909506	0
NODE_1143_length_24230_cov_12.508930__full	0	0	0	0	0	0.042774085	0	0.024086379	0	0.008637873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032724254	0	0	0	0	0	0	0.021843854	0	0	0	0	0	0	0
NODE_1151_length_24090_cov_8.276812__full	0	0	0	0.012113618	0	0.006056809	0	0	0	0.024227235	0.019799499	0.012113618	0	0.02406015	0	0.012113618	0	0.024227235	0	0	0	0.012113618	0	0.03621554	0	0	0	0	0	0	0	0	0	0.003132832	0	0	0	0	0
NODE_1160_length_23955_cov_8.192363__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1163_length_23885_cov_23.985117__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012218243	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1166_length_23820_cov_7.446988__full	0	0	0	0.012251795	0	0.02450359	0	0.011829319	0.012251795	0	0	0.012251795	0	0.012251795	0	0	0	0.009885931	0.019940853	0	0.019771863	0	0	0	0.02450359	0	0	0	0	0.00937896	0.012251795	0	0	0	0	0	0	0	0
NODE_1176_length_23724_cov_8.671534__full	0	0	0	0.024603376	0	0	0	0	0	0.024603376	0.012301688	0	0	0	0	0	0	0	0	0	0	0.007890048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1177_length_23716_cov_28.545370__full	0	0	0	0	0	0	0	0	0	0.009759824	0	0	0	0.007977595	0.012305864	0	0	0.012305864	0.012305864	0	0	0	0	0	0.024611728	0	0	0	0	0.034626156	0.012305864	0	0	0.012305864	0	0	0.008741407	0	0
NODE_1192_length_23519_cov_19.921862__full	0	0	0	0.012409602	0	0	0	0	0	0	0	0.010441183	0	0	0	0.012409602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006204801	0	0	0	0
NODE_1199_length_23369_cov_8.483842__full	0	0	0	0.019811362	0	0	0	0	0	0.0124897715	0	0	0	0	0	0	0	0	0	0	0	0	0.024979543	0	0	0	0	0	0	0	0	0	0	0	0.0124897715	0	0	0	0
NODE_1210_length_23222_cov_9.054015__full	0	0.012569348	0	0	0	0.012569348	0	0.025138697	0	0	0	0	0	0.012482663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1213_length_23190_cov_10.753064__full	0	0	0.012586806	0	0	0.009114583	0	0	0	0	0	0.013715277	0	0.05703125	0.02421875	0	0	0	0.012586806	0	0	0.025173612	0	0	0	0	0	0	0	0	0	0	0	0	0.006293403	0	0	0	0
NODE_1214_length_23140_cov_8.332755__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1216_length_23125_cov_33.576001__full	0	0	0	0.025244832	0.010272034	0.012622416	0.05179543	0.009227421	0.24522308	0	0.020021763	0.055973884	0.012622416	0.0094015235	0.020108813	0	0.025070729	0.022459194	0.019847661	0.05649619	0	0	0.03351469	0.08021763	0.02820457	0.018454842	0.012535364	0.00914037	0.018977148	0	0.009575626	0	0	0	0.058411315	0.010620239	0.045440696	0	0
