Contig	T0_A Trimmed Mean	T0_B Trimmed Mean	T0_C Trimmed Mean	T1H218OP_A Trimmed Mean	T1H218OP_B Trimmed Mean	T1H218OP_C Trimmed Mean	T1H218O_A Trimmed Mean	T1H218O_B Trimmed Mean	T1H218O_C Trimmed Mean	T1H2OP_A Trimmed Mean	T1H2OP_B Trimmed Mean	T1H2OP_C Trimmed Mean	T1H2O_A Trimmed Mean	T1H2O_B Trimmed Mean	T1H2O_C Trimmed Mean	T2H218OP_A Trimmed Mean	T2H218OP_B Trimmed Mean	T2H218OP_C Trimmed Mean	T2H218O_A Trimmed Mean	T2H218O_B Trimmed Mean	T2H218O_C Trimmed Mean	T2H2OP_A Trimmed Mean	T2H2OP_B Trimmed Mean	T2H2OP_C Trimmed Mean	T2H2O_A Trimmed Mean	T2H2O_B Trimmed Mean	T2H2O_C Trimmed Mean	T3H218OP_A Trimmed Mean	T3H218OP_B Trimmed Mean	T3H218OP_C Trimmed Mean	T3H218O_B Trimmed Mean	T3H218O_C Trimmed Mean	T3H2OP_A Trimmed Mean	T3H2OP_B Trimmed Mean	T3H2OP_C Trimmed Mean	T3H2O_A Trimmed Mean	T3H2O_B Trimmed Mean	T3H2O_C Trimmed Mean
NODE_2954_length_16142_cov_8.088761__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.212795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_2955_length_16131_cov_34.069049__full	63.705902	0	48.712368	108.09838	0	73.9384	47.878536	59.679344	0	0	60.6977	61.003685	41.45505	42.220745	28.562262	104.8492	133.75694	175.64014	243.29771	131.23146	316.36258	31.728569	38.554127	70.399155	35.60495	130.9452	55.75068	18.877703	35.96635	74.871796	47.91622	54.815548	106.51679	69.001526	107.799416	176.62872	109.31829	89.79107
NODE_2956_length_16131_cov_18.816866__full	0	0	0	0	63.350693	35.06007	0	0	0	0	0	0	43.294792	0	0	58.69478	69.37767	47.08093	0	6.8805532	26.853855	6.211013	24.060766	24.52569	0	17.625738	0	7.070222	0	27.22478	0	0	45.566086	0	0	0	53.959885	26.501078
NODE_2957_length_16130_cov_5.685110__full	94.98783	0	51.36052	0	0	0	0	0	0	0	0	0	0	0	0	0	26.59644	35.56536	14.7606735	21.950006	41.542065	11.089973	15.420317	36.193645	4.118412	16.974482	3.2809763	9.567515	11.89313	19.133291	11.49117	46.14713	35.206993	0	19.348143	30.588236	40.86532	26.769503
NODE_2961_length_16111_cov_12.576255__full	0	0	0	0	0	37.335606	0	0	0	0	0	0	0	0	0	0	52.49314	32.319874	10.0307	11.686252	43.596798	7.4541593	15.918413	18.68465	0	0	0	4.906091	0	0	0	0	25.054995	0	0	0	0	0
NODE_2963_length_16106_cov_17.490535__full	0	0	0	0	0	24.467276	0	0	0	0	0	0	28.562038	25.888247	17.003551	23.250034	54.05835	33.132782	10.14977	6.406768	15.49255	10.46247	23.397924	30.93455	0	5.726988	0	4.955647	0	7.6935663	0	16.823423	20.325998	11.835747	0	0	21.02437	22.953001
NODE_2967_length_16085_cov_26.309208__full	0	0	0	39.6088	0	22.714844	0	0	0	0	0	0	35.19173	33.54082	24.19201	24.705362	84.0511	77.87492	13.983825	7.3639407	19.452486	20.42146	19.375584	61.17618	0	5.7335286	0	7.5377536	10.271701	13.661647	0	14.653629	0	0	0	0	0	11.808338
NODE_2968_length_16080_cov_12.058132__full	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.970985	18.373762	6.219417	0	6.438625	5.7294602	14.253383	34.01374	0	4.878923	0	3.7745154	4.852978	4.5129027	0	14.352489	9.7856045	0	0	0	0	0
NODE_2972_length_16065_cov_15.425216__full	0	0	0	0	0	12.776265	0	0	0	0	0	0	0	0	0	15.521397	41.691936	32.63665	0	0	8.179406	2.2127051	0	30.97808	0	0	0	4.7630715	0	13.289634	0	0	0	0	20.56007	19.863874	0	0
NODE_2975_length_16051_cov_10.287174__full	0	0	0	0	0	21.63888	0	0	0	0	0	0	0	0	0	15.035637	35.80861	27.516457	23.862413	15.558311	44.285793	4.80225	18.546503	23.668297	3.1994271	9.715743	3.9487107	3.4190483	7.163511	7.7680807	0	0	0	0	0	16.937391	0	0
