Contig	T0-E-Dry-soil-A Mean	T0-E-Dry-soil-B Mean	T0-E-Dry-soil-C Mean	T1-E-H218O-A Mean	T1-E-H218O-B Mean	T1-E-H218O-C Mean	T1-E-H218O-P-A Mean	T1-E-H218O-P-B Mean	T1-E-H218O-P-C Mean	T1-E-H2O-A Mean	T1-E-H2O-B Mean	T1-E-H2O-C Mean	T1-E-H2O-P-A Mean	T1-E-H2O-P-B Mean	T1-E-H2O-P-C Mean	T2-E-H218O-A Mean	T2-E-H218O-B Mean	T2-E-H218O-C Mean	T2-E-H218O-P-A Mean	T2-E-H218O-P-B Mean	T2-E-H218O-P-C Mean	T2-E-H2O-A Mean	T2-E-H2O-B Mean	T2-E-H2O-C Mean	T2-E-H2O-P-A Mean	T2-E-H2O-P-B Mean	T2-E-H2O-P-C Mean	T3-E-H218O-A Mean	T3-E-H218O-B Mean	T3-E-H218O-C Mean	T3-E-H218O-P-A Mean	T3-E-H218O-P-B Mean	T3-E-H218O-P-C Mean	T3-E-H2O-A Mean	T3-E-H2O-B Mean	T3-E-H2O-C Mean	T3-E-H2O-P-A Mean	T3-E-H2O-P-B Mean	T3-E-H2O-P-C Mean
NODE_1000_length_17754_cov_5.240385__full	0.71506476	0.45966825	0	0	0	0	0	0	0	0.04362645	0	0	0	0	0	0.007952738	0	0	0	0	0	0.009088843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1005_length_17717_cov_6.245998__full	0.06375591	0.07969488	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015938977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1021_length_17508_cov_4.446378__full	0.49187693	1.0327803	0	0	0	0	0	0	0	0	0	0	0	0	0.01613089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1024_length_17486_cov_21.122275__full	0.016151361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1075_length_16790_cov_16.625726__full	0.9889423	0.8487981	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12620193	0	0	0	0	0	0	0	0.016826924	0	0.030649038	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1089_length_16691_cov_4.618672__full	2.3507648	2.9080467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016927633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1094_length_16652_cov_12.790974__full	0.26299843	0.46970063	0	0	0	0	0	0	0	0.09126166	0	0	0.049690947	0	0	0.067870565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1105_length_16554_cov_5.130416__full	0.6789198	0.92952937	0	0.017069008	0	0	0	0	0	0.10229212	0	0	0	0	0	0.008351621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1122_length_16373_cov_5.633342__full	0	0	0	0.05177834	0	0	0	0	0	0.05177834	0	0	0	0	0	0	0.008629723	0	0	0	0	0	0	0	0	0.05177834	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1129_length_16330_cov_5.191732__full	0.54826945	0.8993201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04103832	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1141_length_16273_cov_4.617102__full	0.03473299	0.064504124	0	0	0	0	0	0	0	0.052099485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
