"","T0.E.Dry.soil.A","T0.E.Dry.soil.B","T0.E.Dry.soil.C","T1.E.H218O.A","T1.E.H218O.B","T1.E.H218O.C","T1.E.H218O.P.A","T1.E.H218O.P.B","T1.E.H218O.P.C","T1.E.H2O.A","T1.E.H2O.B","T1.E.H2O.C","T1.E.H2O.P.A","T1.E.H2O.P.B","T1.E.H2O.P.C","T2.E.H218O.A","T2.E.H218O.B","T2.E.H218O.C","T2.E.H218O.P.A","T2.E.H218O.P.B","T2.E.H218O.P.C","T2.E.H2O.A","T2.E.H2O.B","T2.E.H2O.C","T2.E.H2O.P.A","T2.E.H2O.P.B","T2.E.H2O.P.C","T3.E.H218O.A","T3.E.H218O.B","T3.E.H218O.C","T3.E.H218O.P.A","T3.E.H218O.P.B","T3.E.H218O.P.C","T3.E.H2O.A","T3.E.H2O.B","T3.E.H2O.C","T3.E.H2O.P.A","T3.E.H2O.P.B","T3.E.H2O.P.C"
"NODE_70_length_49574_cov_46.959616__full",0.00453059925073834,0.00548612040731952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_78_length_47781_cov_49.813242__full",0.0086281705579772,0.00820654239688227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_89_length_43717_cov_51.133385__full",0.020527049028934,0.0191106737507755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_91_length_43487_cov_48.136005__full",0.0152999168114791,0.0126774711127218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_96_length_41591_cov_135.443001__full",0.00790867219458519,0.0148335721089712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_111_length_38212_cov_69.900165__full",0.0123472750102592,0.0108730796145318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_115_length_37299_cov_41.177581__full",0.00161989199620994,0.00178401560372341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_118_length_36985_cov_60.762972__full",0.00883137427579719,0.00993285736735455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_123_length_36114_cov_59.899820__full",0.0101317653119092,0.0126860637677496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_124_length_35977_cov_52.662830__full",0.0030803442297616,0.00572037455566081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_132_length_34458_cov_93.360575__full",0.0323695022099415,0.0296591409209951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_134_length_33355_cov_56.191755__full",0.011916342877949,0.00812354354221824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
