"","T0.E.Dry.soil.A","T0.E.Dry.soil.B","T0.E.Dry.soil.C","T1.E.H218O.A","T1.E.H218O.B","T1.E.H218O.C","T1.E.H218O.P.A","T1.E.H218O.P.B","T1.E.H218O.P.C","T1.E.H2O.A","T1.E.H2O.B","T1.E.H2O.C","T1.E.H2O.P.A","T1.E.H2O.P.B","T1.E.H2O.P.C","T2.E.H218O.A","T2.E.H218O.B","T2.E.H218O.C","T2.E.H218O.P.A","T2.E.H218O.P.B","T2.E.H218O.P.C","T2.E.H2O.A","T2.E.H2O.B","T2.E.H2O.C","T2.E.H2O.P.A","T2.E.H2O.P.B","T2.E.H2O.P.C","T3.E.H218O.A","T3.E.H218O.B","T3.E.H218O.C","T3.E.H218O.P.A","T3.E.H218O.P.B","T3.E.H218O.P.C","T3.E.H2O.A","T3.E.H2O.B","T3.E.H2O.C","T3.E.H2O.P.A","T3.E.H2O.P.B","T3.E.H2O.P.C"
"NODE_43412_length_1526_cov_1.589348",0,0.00630092013310793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_51963_length_1805_cov_3.063306",0,0.00523871067189674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_59864_length_1860_cov_7.834753",0,0.00338014281920539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_6104_length_4628_cov_30.960035",0.000643647909499134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_6344_length_3938_cov_19.412607",0.0220440992818639,0.0362070206685819,0,0,0,0,0,0,0,0.17332122773034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063053521007475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_68563_length_1367_cov_2.888801",0.00236832799466522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_71306_length_1511_cov_6.019830",0.00211774803257487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_7135_length_7293_cov_13.093272",0.000605261459978319,0.00121378503126744,0,0,0,0,0,0,0,0.00919138725200293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_7864_length_2745_cov_109.586168",0.0164620955847366,0.0211004230099881,0,1.466834893032,2.55538111516034,0,0,0,0,6.5905275036794,0,0,0.787967934833549,1.02176162923976,0,0.278852287801964,0.202817035474601,1.26594937700046,0,0,0,2.58997073582902,0,0.57854425599263,0,0.514707763440312,0,0,0,0,0,0,0,2.25193713389649,0,0,0,0,0
"NODE_79441_length_1362_cov_3.219319",0.00237809822173854,0.00159250973351905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_90228_length_1503_cov_3.624644",0,0.00213601038825112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_9088_length_4677_cov_4.245522",0.0012733620715335,0.000638396739564233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_91750_length_1485_cov_5.761183",0.00215899248505157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_9324_length_3021_cov_13.965092",0.00100392032342867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_6_length_121281_cov_168.096665__full_1",0.011388882993848,0.0120078736325133,0.0110880860605727,0,0,0,0,0,0,0.0117074899245856,0,0,0,0,0,0.0230618565322434,0.013348415714065,0.0138864214500024,0,0,0,0.00664742935328249,0.10821919843574,0,0,0.0131738145913587,0,0,0,0,0,0,0,0.0164679312809361,0,0,0,0,0
"NODE_95_length_42159_cov_70.260842__full_1",0,0.000344245603096148,0,0,0,0,0,0,0,0.00196210766233183,0,0,0,0,0,0.0099811499798059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_2_length_199986_cov_102.532136__full",0.000129756411004206,0.000209698559395957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_12_length_97136_cov_53.423921__full",0.0263466174536161,0.0280460957225028,0.0371889208175946,0,0,0,0,0,0,0.0126830275231863,0,0,0,0.0273387009593326,0.0155826300458672,0.0223832838277065,0.00997472194559955,0,0,0,0.126941794072072,0.0178747403499435,0,0.0366354899516133,0,0.0633828279112364,0.0527688983174209,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_19_length_79038_cov_85.620352__full",0.0553044735949878,0.0557723557943834,0.157943807630534,0,0,0,0,0,0,0.00826894059275079,0.0739938435608348,0,0,0.0672211578248177,0.0862087540325453,0.0268076804724398,0.0222387129980247,0,0,0,0.156064008066545,0.0132896906703915,0.324531392973403,0.0201844608188194,0,0.0169311778935045,0.129749633946166,0,0,0,0,0,0,0.0246922950388175,0,0,0,0,0
"NODE_21_length_77995_cov_70.244942__full",0.0130406683776992,0.013036165174934,0.0168484212097433,0,0,0,0,0,0,0.0267175476176909,0,0,0,0,0,0.00608304819476062,0.043721152011418,0.084402042483271,0,0,0.474465063063197,0.0538710062439575,0,0.0286368593214264,0.207389457412523,0.0820725708666728,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_29_length_66528_cov_77.461425__full",0.254581015939564,0.133450786062765,0.148192773465923,0,0,0,0,0,0,0.0049737300676137,0.263817506792238,0,0.0924151088115162,0.119835094768889,0.256140459167874,0.00999107234466433,0.038549975933211,0,0,0,0,0,0.771389078297793,0.0325216117947564,0,0.0503053228419955,0.0771015167609776,0,0,0,0,0,0,0.0440189318903934,0,0,0,0,0
"NODE_34_length_63571_cov_98.927433__full",0.0431339714058978,0.0448233140129536,0.0413606050805658,0,0,0,0,0.620942291123169,0,0.0511541861205155,0,0,0.177327259908249,0,0.0119148001554736,0.0429686030174411,0.0470258226977833,0,0,0,0,0.0392605476866258,0,0.0188302566367455,0.254556585679316,0.0105301615388902,0.322785510475387,0,0,0,0,0,0,0,0,0,0,0,0.627408983990414
"NODE_38_length_58139_cov_75.019125__full",0.0289245846240545,0.0363377085006126,0,0.0520436696140946,0,0,0,0,0,0.0276777986010929,0.100660924114641,0,0,0.0914473912476294,0.0130308940848288,0.00959892582217915,0.0121013812373231,0.0566510645268557,0,0,0,0.0267314494712894,0,0.0109835427733628,0,0.0255009373176482,0,0,0,0,0,0,0,0.033591297836491,0,0,0,0,0
"NODE_39_length_57931_cov_65.922085__full",0.0195537228137344,0.0283282795457666,0.056747259985364,0.0658769584370446,0,0,0,0,0,0.0182856256891476,0,0,0,0,0.0261556046309681,0.00385339190162265,0,0,0,0,0,0,0,0.0275577030905949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_50_length_55711_cov_72.358700__full",0.00217877123993017,0.00392901292859039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114635200953875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_60_length_51924_cov_52.439402__full",0.0282568639143056,0.0251301408233535,0.0253325103947645,0.147040465070406,0.157355424085426,0,0,0,0,0.0191481561982158,0,0,0,0,0.0437854052362685,0.0192676684188579,0.0199438061060033,0,0,0,0,0.0441511199451715,0,0.0215285310746663,0,0.0727565593309453,0,0,0,0,0,0,0,0.112870888107005,0,0,0,0,0
"NODE_61_length_51656_cov_98.863355__full",0.0196036475891159,0.0181507116204263,0.00636608067862041,0,0,0,0,0,0,0.102016014611582,0,0,0.0396997785762387,0,0.0392975277706765,0.0744071007890865,0.163494805775292,0.0637816689409603,0,0,0,0.111733608551557,0,0.092347728656671,0,0.115213299307478,0,0,0,0,0,0,0,0.151277583628714,0,0,0,0,0
"NODE_62_length_51641_cov_73.671433__full",0.00519876156313963,0.00603041715992821,0,0,0,0,0,0,0,0,0,0,0,0,0.0146753512162519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_64_length_51279_cov_69.759809__full",0.00513369691948278,0.0063307028431172,0,0,0,0,0,0,0,0.00128408702546275,0,0,0,0,0,0.00762077261285183,0,0,0,0,1.20397201385,0,0,0,0.315754920171094,0.0261234677324613,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_69_length_49797_cov_75.016459__full",0.00566035986005587,0.00573174534765832,0,0,0,0,0,0,0,0.00925692550196015,0,0,0,0.0534064759385034,0,0.001121179756236,0.0212020948501031,0.132339858940374,0,0,0,0.0105585141343159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_70_length_49574_cov_46.959616__full",0.00451956072849497,0.0059935915692484,0.00663425317097628,0,0,0,0,0,0,0,0,0,0,0,0,0.00450495363569066,0,0,0,0,0,0.0106061536739978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_78_length_47781_cov_49.813242__full",0.00842545538239217,0.0084514100482128,0,0.0799151055915668,0,0,0,0,0,0,0,0,0,0.167000774153881,0,0,0.00631413834347936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NODE_89_length_43717_cov_51.133385__full",0.0205492598924062,0.0191485794872194,0,0,0,0,0.624461031834004,0,0,0.00594176012187859,0,0,0,0,0.156100641349117,0.019840020609256,0.0161073064380362,0.0754042896822973,0,0,0,0.0685824516541308,0.293819102978224,0.0356087514826255,0,0.0101462597531876,0.11747067273994,0,0,0,0,0,0,0.125510275673583,0,0,0,0,0
